date,time,ID,trial,timepoint,bin,tank,treatment,diameter,consumed,pycno,notes,bucket
2020-09-13,11:20:00,1_17,1,0,17,A,empty,72,0,no,NA,empty
2020-09-13,11:20:00,1_2,1,0,2,A,empty,65,0,no,NA,empty
2020-09-13,11:20:00,1_3,1,0,3,A,empty,68,0,no,NA,empty
2020-09-13,11:20:00,1_4,1,0,4,A,empty,76,0,no,NA,empty
2020-09-13,11:20:00,1_10,1,0,10,A,empty,76,0,no,NA,empty
2020-09-13,11:20:00,1_12,1,0,12,B,empty,75,0,no,NA,empty
2020-09-13,11:20:00,1_15,1,0,15,B,empty,74,0,no,NA,empty
2020-09-13,11:20:00,1_16,1,0,16,B,empty,71,0,no,NA,empty
2020-09-13,11:20:00,1_13,1,0,13,B,empty,66,0,no,NA,empty
2020-09-13,11:20:00,1_14,1,0,14,B,empty,69,0,no,NA,empty
2020-09-13,11:20:00,1_1,1,0,1,C,pycno,75,0,yes,NA,pycno
2020-09-13,11:20:00,1_5,1,0,5,C,pycno,68,0,yes,NA,pycno
2020-09-13,11:20:00,1_7,1,0,7,C,pycno,65,0,yes,NA,pycno
2020-09-13,11:20:00,1_6,1,0,6,C,pycno,78,0,yes,NA,pycno
2020-09-13,11:20:00,1_18,1,0,18,C,pycno,61,0,yes,NA,pycno
2020-09-13,14:00:00,1_10,1,1,10,A,empty,76,0.4,no,NA,empty
2020-09-13,14:00:00,1_4,1,1,4,A,empty,76,0,no,"escaped at 1345, returned to bin",empty
2020-09-13,14:00:00,1_3,1,1,3,A,empty,68,0,no,NA,empty
2020-09-13,14:00:00,1_2,1,1,2,A,empty,65,0.8,no,NA,empty
2020-09-13,14:00:00,1_17,1,1,17,A,empty,72,0,no,NA,empty
2020-09-13,14:00:00,1_14,1,1,14,B,empty,69,2,no,NA,empty
2020-09-13,14:00:00,1_13,1,1,13,B,empty,66,0.1,no,NA,empty
2020-09-13,14:00:00,1_16,1,1,16,B,empty,71,0.3,no,NA,empty
2020-09-13,14:00:00,1_15,1,1,15,B,empty,74,2,no,NA,empty
2020-09-13,14:00:00,1_12,1,1,12,B,empty,75,2.2,no,NA,empty
2020-09-13,14:00:00,1_1,1,1,1,C,pycno,75,0.2,yes,NA,pycno
2020-09-13,14:00:00,1_5,1,1,5,C,pycno,68,0,yes,NA,pycno
2020-09-13,14:00:00,1_7,1,1,7,C,pycno,65,0,yes,NA,pycno
2020-09-13,14:00:00,1_6,1,1,6,C,pycno,78,0,yes,NA,pycno
2020-09-13,14:00:00,1_18,1,1,18,C,pycno,61,0,yes,NA,pycno
