trial,date,tank,urchinGroup,pycnoTreat,algalTreat,minutes,foraging,moving,trialtank
1,8/15/2021,TF2,starved,pycno,nereo,5,0,0.8,1TF2
1,8/15/2021,TF2,starved,pycno,nereo,10,0,1,1TF2
1,8/15/2021,TF2,starved,pycno,nereo,15,0,1,1TF2
1,8/15/2021,TF2,starved,pycno,nereo,20,0,1,1TF2
1,8/15/2021,TF2,starved,pycno,nereo,25,0,1,1TF2
1,8/15/2021,TF2,starved,pycno,nereo,30,0,1,1TF2
1,8/15/2021,TF2,starved,pycno,nereo,35,0,1,1TF2
1,8/15/2021,TF2,starved,pycno,nereo,40,0,0.8,1TF2
1,8/15/2021,TF2,starved,pycno,nereo,45,0,0.6,1TF2
1,8/15/2021,TF2,starved,pycno,nereo,50,0,1,1TF2
1,8/15/2021,TF2,starved,pycno,nereo,55,0,1,1TF2
1,8/15/2021,TF2,starved,pycno,nereo,60,0,1,1TF2
2,8/16/2021,TF1,starved,control,nereo,5,0,1,2TF1
2,8/16/2021,TF1,starved,control,nereo,10,0,0.8,2TF1
2,8/16/2021,TF1,starved,control,nereo,15,0,1,2TF1
2,8/16/2021,TF1,starved,control,nereo,20,0,0.8,2TF1
2,8/16/2021,TF1,starved,control,nereo,25,0,0.6,2TF1
2,8/16/2021,TF1,starved,control,nereo,30,0,0.6,2TF1
2,8/16/2021,TF1,starved,control,nereo,35,0,0.8,2TF1
2,8/16/2021,TF1,starved,control,nereo,40,0,1,2TF1
2,8/16/2021,TF1,starved,control,nereo,45,0.6,0.4,2TF1
2,8/16/2021,TF1,starved,control,nereo,50,1,0,2TF1
2,8/16/2021,TF1,starved,control,nereo,55,1,0,2TF1
2,8/16/2021,TF1,starved,control,nereo,60,1,0,2TF1
3,8/16/2021,TF2,starved,pycno,control,5,0,0.2,3TF2
3,8/16/2021,TF2,starved,pycno,control,10,0,0.4,3TF2
3,8/16/2021,TF2,starved,pycno,control,15,0,0.4,3TF2
3,8/16/2021,TF2,starved,pycno,control,20,0,0.4,3TF2
3,8/16/2021,TF2,starved,pycno,control,25,0,0.8,3TF2
3,8/16/2021,TF2,starved,pycno,control,30,0,0.6,3TF2
3,8/16/2021,TF2,starved,pycno,control,35,0,0.6,3TF2
3,8/16/2021,TF2,starved,pycno,control,40,0,1,3TF2
3,8/16/2021,TF2,starved,pycno,control,45,0,0.8,3TF2
3,8/16/2021,TF2,starved,pycno,control,50,0,1,3TF2
3,8/16/2021,TF2,starved,pycno,control,55,0,1,3TF2
3,8/16/2021,TF2,starved,pycno,control,60,0,0.6,3TF2
4,8/16/2021,TF1,fed,control,control,5,0,0.8,4TF1
4,8/16/2021,TF1,fed,control,control,10,0,0.8,4TF1
4,8/16/2021,TF1,fed,control,control,15,0,0.2,4TF1
4,8/16/2021,TF1,fed,control,control,20,0,1,4TF1
4,8/16/2021,TF1,fed,control,control,25,0,0.8,4TF1
4,8/16/2021,TF1,fed,control,control,30,0,1,4TF1
4,8/16/2021,TF1,fed,control,control,35,0,1,4TF1
4,8/16/2021,TF1,fed,control,control,40,0,0.6,4TF1
4,8/16/2021,TF1,fed,control,control,45,0,1,4TF1
4,8/16/2021,TF1,fed,control,control,50,0.8,1,4TF1
4,8/16/2021,TF1,fed,control,control,55,0.4,1,4TF1
4,8/16/2021,TF1,fed,control,control,60,0,0.8,4TF1
5,8/17/2021,TF2,fed,pycno,nereo,5,0,0.6,5TF2
5,8/17/2021,TF2,fed,pycno,nereo,10,0,1,5TF2
5,8/17/2021,TF2,fed,pycno,nereo,15,0,1,5TF2
5,8/17/2021,TF2,fed,pycno,nereo,20,0,1,5TF2
5,8/17/2021,TF2,fed,pycno,nereo,25,0,1,5TF2
5,8/17/2021,TF2,fed,pycno,nereo,30,0,1,5TF2
5,8/17/2021,TF2,fed,pycno,nereo,35,0,1,5TF2
5,8/17/2021,TF2,fed,pycno,nereo,40,0,1,5TF2
5,8/17/2021,TF2,fed,pycno,nereo,45,0,1,5TF2
5,8/17/2021,TF2,fed,pycno,nereo,50,0,1,5TF2
5,8/17/2021,TF2,fed,pycno,nereo,55,0,0.8,5TF2
5,8/17/2021,TF2,fed,pycno,nereo,60,0,1,5TF2
