trial,tank,urchinGroup,pycnoTreat,algalTreat,interact,n,time_interacting
002,TF1,starved,control,nereo,1,18,0.3
004,TF1,fed,control,control,1,6,0.1
007,TF2,fed,control,nereo,1,13,0.21666666666666667
008,TF1,starved,control,nereo,1,59,0.9833333333333333
009,TF2,fed,control,control,1,6,0.1
011,TF2,starved,pycno,nereo,1,60,1
013,TF2,starved,control,control,1,2,0.03333333333333333
017,TF2,starved,control,nereo,1,60,1
020,TF1,fed,pycno,nereo,1,4,0.06666666666666667
021,TF2,fed,pycno,control,1,5,0.08333333333333333
023,TF2,starved,control,control,1,10,0.16666666666666666
024,TF1,starved,pycno,control,1,1,0.016666666666666666
025,TF2,starved,pycno,nereo,1,58,0.9666666666666667
027,TF2,starved,pycno,nereo,1,43,0.7166666666666667
028,TF1,starved,control,nereo,1,60,1
029,TF2,starved,control,nereo,1,17,0.2833333333333333
032,TF1,fed,control,control,1,19,0.31666666666666665
033,TF2,fed,pycno,control,1,1,0.016666666666666666
034,TF1,fed,control,control,1,12,0.2
035,TF2,starved,pycno,nereo,1,60,1
038,TF1,fed,control,control,1,2,0.03333333333333333
041,TF2,starved,control,control,1,6,0.1
042,TF1,starved,pycno,control,1,3,0.05
043,TF2,fed,pycno,nereo,1,39,0.65
044,TF1,fed,pycno,nereo,1,7,0.11666666666666667
045,TF2,fed,pycno,nereo,1,14,0.23333333333333334
047,TF2,starved,pycno,control,1,17,0.2833333333333333
048,TF1,fed,control,nereo,1,5,0.08333333333333333
049,TF2,starved,control,nereo,1,7,0.11666666666666667
