trial,urchinGroup,pycnoTreat,algalTreat,move,tank,n,time_moving
001,starved,pycno,nereo,1,TF2,56,0.9333333333333333
002,starved,control,nereo,1,TF1,35,0.5833333333333334
003,starved,pycno,control,1,TF2,39,0.65
004,fed,control,control,1,TF1,50,0.8333333333333334
005,fed,pycno,nereo,1,TF2,57,0.95
006,starved,pycno,nereo,1,TF1,50,0.8333333333333334
007,fed,control,nereo,1,TF2,46,0.7666666666666667
008,starved,control,nereo,1,TF1,8,0.13333333333333333
009,fed,control,control,1,TF2,57,0.95
010,fed,control,control,1,TF1,56,0.9333333333333333
011,starved,pycno,nereo,1,TF2,8,0.13333333333333333
012,starved,control,control,1,TF1,40,0.6666666666666666
013,starved,control,control,1,TF2,41,0.6833333333333333
014,fed,control,nereo,1,TF1,58,0.9666666666666667
015,fed,control,nereo,1,TF2,43,0.7166666666666667
016,fed,pycno,control,1,TF1,51,0.85
017,starved,control,nereo,1,TF2,3,0.05
018,fed,pycno,control,1,TF1,43,0.7166666666666667
019,fed,pycno,nereo,1,TF2,51,0.85
020,fed,pycno,nereo,1,TF1,57,0.95
021,fed,pycno,control,1,TF2,48,0.8
022,starved,pycno,control,1,TF1,36,0.6
023,starved,control,control,1,TF2,35,0.5833333333333334
024,starved,pycno,control,1,TF1,51,0.85
025,starved,pycno,nereo,1,TF2,12,0.2
026,fed,control,nereo,1,TF1,45,0.75
027,starved,pycno,nereo,1,TF2,34,0.5666666666666667
028,starved,control,nereo,1,TF1,11,0.18333333333333332
029,starved,control,nereo,1,TF2,37,0.6166666666666667
030,fed,control,nereo,1,TF1,59,0.9833333333333333
031,starved,control,control,1,TF2,39,0.65
032,fed,control,control,1,TF1,44,0.7333333333333333
033,fed,pycno,control,1,TF2,51,0.85
034,fed,control,control,1,TF1,55,0.9166666666666666
035,starved,pycno,nereo,1,TF2,34,0.5666666666666667
036,fed,pycno,control,1,TF1,48,0.8
037,fed,pycno,control,1,TF2,51,0.85
038,fed,control,control,1,TF1,57,0.95
039,starved,control,control,1,TF2,37,0.6166666666666667
040,starved,control,nereo,1,TF1,44,0.7333333333333333
041,starved,control,control,1,TF2,54,0.9
042,starved,pycno,control,1,TF1,51,0.85
043,fed,pycno,nereo,1,TF2,53,0.8833333333333333
044,fed,pycno,nereo,1,TF1,53,0.8833333333333333
045,fed,pycno,nereo,1,TF2,56,0.9333333333333333
046,starved,pycno,control,1,TF1,41,0.6833333333333333
047,starved,pycno,control,1,TF2,44,0.7333333333333333
048,fed,control,nereo,1,TF1,59,0.9833333333333333
049,starved,control,nereo,1,TF2,57,0.95
