trial,date,tank,urchinGroup,pycnoTreat,algalTreat,minutes,foraging,moving,trialtank
1,8/15/2021,TF2,starved,pycno,nereo,10,0,0.9,1TF2
1,8/15/2021,TF2,starved,pycno,nereo,20,0,1,1TF2
1,8/15/2021,TF2,starved,pycno,nereo,30,0,1,1TF2
1,8/15/2021,TF2,starved,pycno,nereo,40,0,0.9,1TF2
1,8/15/2021,TF2,starved,pycno,nereo,50,0,0.8,1TF2
1,8/15/2021,TF2,starved,pycno,nereo,60,0,1,1TF2
2,8/16/2021,TF1,starved,control,nereo,10,0,0.9,2TF1
2,8/16/2021,TF1,starved,control,nereo,20,0,0.9,2TF1
2,8/16/2021,TF1,starved,control,nereo,30,0,0.6,2TF1
2,8/16/2021,TF1,starved,control,nereo,40,0,0.9,2TF1
2,8/16/2021,TF1,starved,control,nereo,50,0.8,0.2,2TF1
2,8/16/2021,TF1,starved,control,nereo,60,1,0,2TF1
3,8/16/2021,TF2,starved,pycno,control,10,0,0.3,3TF2
3,8/16/2021,TF2,starved,pycno,control,20,0,0.4,3TF2
3,8/16/2021,TF2,starved,pycno,control,30,0,0.7,3TF2
3,8/16/2021,TF2,starved,pycno,control,40,0,0.8,3TF2
3,8/16/2021,TF2,starved,pycno,control,50,0,0.9,3TF2
3,8/16/2021,TF2,starved,pycno,control,60,0,0.8,3TF2
4,8/16/2021,TF1,fed,control,control,10,0,0.8,4TF1
4,8/16/2021,TF1,fed,control,control,20,0,0.6,4TF1
4,8/16/2021,TF1,fed,control,control,30,0,0.9,4TF1
4,8/16/2021,TF1,fed,control,control,40,0,0.8,4TF1
4,8/16/2021,TF1,fed,control,control,50,0.4,1,4TF1
4,8/16/2021,TF1,fed,control,control,60,0.2,0.9,4TF1
5,8/17/2021,TF2,fed,pycno,nereo,10,0,0.8,5TF2
5,8/17/2021,TF2,fed,pycno,nereo,20,0,1,5TF2
5,8/17/2021,TF2,fed,pycno,nereo,30,0,1,5TF2
5,8/17/2021,TF2,fed,pycno,nereo,40,0,1,5TF2
5,8/17/2021,TF2,fed,pycno,nereo,50,0,1,5TF2
5,8/17/2021,TF2,fed,pycno,nereo,60,0,0.9,5TF2
6,8/17/2021,TF1,starved,pycno,nereo,10,0,0.9,6TF1
6,8/17/2021,TF1,starved,pycno,nereo,20,0,0.9,6TF1
6,8/17/2021,TF1,starved,pycno,nereo,30,0,0.6,6TF1
6,8/17/2021,TF1,starved,pycno,nereo,40,0,1,6TF1
6,8/17/2021,TF1,starved,pycno,nereo,50,0,0.8,6TF1
6,8/17/2021,TF1,starved,pycno,nereo,60,0,0.8,6TF1
7,8/17/2021,TF2,fed,control,nereo,10,1,0.3,7TF2
7,8/17/2021,TF2,fed,control,nereo,20,0.3,0.9,7TF2
7,8/17/2021,TF2,fed,control,nereo,30,0,0.8,7TF2
7,8/17/2021,TF2,fed,control,nereo,40,0,1,7TF2
7,8/17/2021,TF2,fed,control,nereo,50,0,0.9,7TF2
7,8/17/2021,TF2,fed,control,nereo,60,0,0.7,7TF2
8,8/17/2021,TF1,starved,control,nereo,10,0.9,0.6,8TF1
8,8/17/2021,TF1,starved,control,nereo,20,1,0.2,8TF1
8,8/17/2021,TF1,starved,control,nereo,30,1,0,8TF1
8,8/17/2021,TF1,starved,control,nereo,40,1,0,8TF1
8,8/17/2021,TF1,starved,control,nereo,50,1,0,8TF1
8,8/17/2021,TF1,starved,control,nereo,60,1,0,8TF1
9,8/18/2021,TF2,fed,control,control,10,0.6,1,9TF2
9,8/18/2021,TF2,fed,control,control,20,0,0.9,9TF2
9,8/18/2021,TF2,fed,control,control,30,0,1,9TF2
9,8/18/2021,TF2,fed,control,control,40,0,0.9,9TF2
9,8/18/2021,TF2,fed,control,control,50,0,0.9,9TF2
9,8/18/2021,TF2,fed,control,control,60,0,1,9TF2
10,8/18/2021,TF1,fed,control,control,10,0,0.9,10TF1
10,8/18/2021,TF1,fed,control,control,20,0,1,10TF1
10,8/18/2021,TF1,fed,control,control,30,0,1,10TF1
10,8/18/2021,TF1,fed,control,control,40,0,0.9,10TF1
10,8/18/2021,TF1,fed,control,control,50,0,1,10TF1
10,8/18/2021,TF1,fed,control,control,60,0,0.8,10TF1
11,8/18/2021,TF2,starved,pycno,nereo,10,1,0.1,11TF2
11,8/18/2021,TF2,starved,pycno,nereo,20,1,0.1,11TF2
11,8/18/2021,TF2,starved,pycno,nereo,30,1,0.1,11TF2
11,8/18/2021,TF2,starved,pycno,nereo,40,1,0.1,11TF2
11,8/18/2021,TF2,starved,pycno,nereo,50,1,0.1,11TF2
11,8/18/2021,TF2,starved,pycno,nereo,60,1,0.3,11TF2
12,8/18/2021,TF1,starved,control,control,10,0,0.6,12TF1
12,8/18/2021,TF1,starved,control,control,20,0,0.5,12TF1
12,8/18/2021,TF1,starved,control,control,30,0,0.9,12TF1
12,8/18/2021,TF1,starved,control,control,40,0,0.9,12TF1
12,8/18/2021,TF1,starved,control,control,50,0,0.4,12TF1
12,8/18/2021,TF1,starved,control,control,60,0,0.7,12TF1
13,8/19/2021,TF2,starved,control,control,10,0.2,0.9,13TF2
13,8/19/2021,TF2,starved,control,control,20,0,0.9,13TF2
13,8/19/2021,TF2,starved,control,control,30,0,0.3,13TF2
13,8/19/2021,TF2,starved,control,control,40,0,0.8,13TF2
13,8/19/2021,TF2,starved,control,control,50,0,0.8,13TF2
13,8/19/2021,TF2,starved,control,control,60,0,0.4,13TF2
14,8/19/2021,TF1,fed,control,nereo,10,0,0.8,14TF1
14,8/19/2021,TF1,fed,control,nereo,20,0,1,14TF1
14,8/19/2021,TF1,fed,control,nereo,30,0,1,14TF1
14,8/19/2021,TF1,fed,control,nereo,40,0,1,14TF1
14,8/19/2021,TF1,fed,control,nereo,50,0,1,14TF1
14,8/19/2021,TF1,fed,control,nereo,60,0,1,14TF1
15,8/19/2021,TF2,fed,control,nereo,10,0,0.4,15TF2
15,8/19/2021,TF2,fed,control,nereo,20,0,0.9,15TF2
15,8/19/2021,TF2,fed,control,nereo,30,0,0.7,15TF2
15,8/19/2021,TF2,fed,control,nereo,40,0,0.6,15TF2
15,8/19/2021,TF2,fed,control,nereo,50,0,0.7,15TF2
15,8/19/2021,TF2,fed,control,nereo,60,0,1,15TF2
16,8/19/2021,TF1,fed,pycno,control,10,0,1,16TF1
16,8/19/2021,TF1,fed,pycno,control,20,0,1,16TF1
16,8/19/2021,TF1,fed,pycno,control,30,0,1,16TF1
16,8/19/2021,TF1,fed,pycno,control,40,0,1,16TF1
16,8/19/2021,TF1,fed,pycno,control,50,0,0.3,16TF1
16,8/19/2021,TF1,fed,pycno,control,60,0,0.8,16TF1
17,8/20/2021,TF2,starved,control,nereo,10,1,0.3,17TF2
17,8/20/2021,TF2,starved,control,nereo,20,1,0,17TF2
17,8/20/2021,TF2,starved,control,nereo,30,1,0,17TF2
17,8/20/2021,TF2,starved,control,nereo,40,1,0,17TF2
17,8/20/2021,TF2,starved,control,nereo,50,1,0,17TF2
17,8/20/2021,TF2,starved,control,nereo,60,1,0,17TF2
18,8/20/2021,TF1,fed,pycno,control,10,0,0.6,18TF1
18,8/20/2021,TF1,fed,pycno,control,20,0,0.8,18TF1
18,8/20/2021,TF1,fed,pycno,control,30,0,0.8,18TF1
18,8/20/2021,TF1,fed,pycno,control,40,0,0.5,18TF1
18,8/20/2021,TF1,fed,pycno,control,50,0,0.8,18TF1
18,8/20/2021,TF1,fed,pycno,control,60,0,0.8,18TF1
19,8/20/2021,TF2,fed,pycno,nereo,10,0,1,19TF2
19,8/20/2021,TF2,fed,pycno,nereo,20,0,1,19TF2
19,8/20/2021,TF2,fed,pycno,nereo,30,0,0.8,19TF2
19,8/20/2021,TF2,fed,pycno,nereo,40,0,0.9,19TF2
19,8/20/2021,TF2,fed,pycno,nereo,50,0,0.9,19TF2
19,8/20/2021,TF2,fed,pycno,nereo,60,0,0.5,19TF2
20,8/20/2021,TF1,fed,pycno,nereo,10,0,1,20TF1
20,8/20/2021,TF1,fed,pycno,nereo,20,0,0.9,20TF1
20,8/20/2021,TF1,fed,pycno,nereo,30,0,1,20TF1
20,8/20/2021,TF1,fed,pycno,nereo,40,0,0.8,20TF1
20,8/20/2021,TF1,fed,pycno,nereo,50,0,1,20TF1
20,8/20/2021,TF1,fed,pycno,nereo,60,0.4,1,20TF1
21,8/21/2021,TF2,fed,pycno,control,10,0.5,0.9,21TF2
21,8/21/2021,TF2,fed,pycno,control,20,0,0.4,21TF2
21,8/21/2021,TF2,fed,pycno,control,30,0,1,21TF2
21,8/21/2021,TF2,fed,pycno,control,40,0,1,21TF2
21,8/21/2021,TF2,fed,pycno,control,50,0,0.6,21TF2
21,8/21/2021,TF2,fed,pycno,control,60,0,0.9,21TF2
22,8/21/2021,TF1,starved,pycno,control,10,0,0.5,22TF1
22,8/21/2021,TF1,starved,pycno,control,20,0,0.5,22TF1
22,8/21/2021,TF1,starved,pycno,control,30,0,0.9,22TF1
22,8/21/2021,TF1,starved,pycno,control,40,0,0.8,22TF1
22,8/21/2021,TF1,starved,pycno,control,50,0,0.3,22TF1
22,8/21/2021,TF1,starved,pycno,control,60,0,0.6,22TF1
23,8/21/2021,TF2,starved,control,control,10,0.9,0.7,23TF2
23,8/21/2021,TF2,starved,control,control,20,0.1,0.5,23TF2
