t,distance,Alg,Pyc,Urchin,ID,tank,permin,fivemin
60.38888888888889,1149.0679415620093,Algae,Pycno,Starved,S01,TF2,19.02780400010687,95.13902000053434
60.05555555555556,715.8374510512704,Algae,No Pycno,Starved,S03,TF2,11.919587529068332,59.59793764534166
60.11111111111111,862.5871355471079,No Algae,No Pycno,Fed,F01,TF1,14.349878410210668,71.74939205105333
60.55555555555556,858.3630317471394,Algae,Pycno,Fed,F02,TF2,14.174802359127073,70.87401179563537
59.72222222222222,618.1720794375058,Algae,Pycno,Starved,S04,TF1,10.350788306860562,51.75394153430281
59.777777777777786,820.9744594448546,Algae,No Pycno,Fed,F03,TF2,13.73377348513697,68.66886742568485
58.611111111111114,253.85833302044077,Algae,No Pycno,Starved,S05,TF1,4.3312322221497,21.656161110748503
50.5,753.2085070051668,No Algae,No Pycno,Fed,F04,TF2,14.915019940696371,74.57509970348185
59.77777777777778,849.0032747135266,No Algae,No Pycno,Fed,F05,TF1,14.202657011936319,71.01328505968159
59.44444444444445,612.2627048398276,Algae,Pycno,Starved,S06,TF2,10.299746436557847,51.49873218278923
59.88888888888889,322.6988062337178,No Algae,No Pycno,Starved,S07,TF1,5.388291755293989,26.941458776469943
59.777777777777786,731.5651707264544,No Algae,No Pycno,Starved,S08,TF2,12.23807906419719,61.19039532098596
60.166666666666664,1052.320113419377,Algae,No Pycno,Fed,F06,TF1,17.490084987579674,87.45042493789838
59,502.788559305506,Algae,No Pycno,Fed,F07,TF2,8.521839988228916,42.60919994114458
60.111111111111114,990.1862388900267,No Algae,Pycno,Fed,F08,TF1,16.47259916822595,82.36299584112976
57.94444444444445,249.69789620436416,Algae,No Pycno,Starved,S09,TF2,4.309263788761797,21.546318943808984
58.44444445,435.59444152031625,No Algae,Pycno,Fed,F09,TF1,7.453136831388193,37.265684156940964
57.88888888333334,742.8384047049254,Algae,Pycno,Fed,F10,TF2,12.83214134930122,64.16070674650611
60.05555555,1006.7149357019272,Algae,Pycno,Fed,F11,TF1,16.76306091055596,83.8153045527798
60.44444445,678.7835801693301,No Algae,Pycno,Fed,F12,TF2,11.229875406181025,56.14937703090512
58.94444445,547.6854919641859,No Algae,Pycno,Starved,S10,TF1,9.291554056952112,46.45777028476056
58.5,764.6658563282923,No Algae,No Pycno,Starved,S11,TF2,13.071211219287047,65.35605609643524
59.277777783333335,822.5763962826114,No Algae,Pycno,Starved,S12,TF1,13.876640235894415,69.38320117947208
59.61111111666666,929.4053523927402,Algae,Pycno,Starved,S13,TF2,15.591142909142786,77.95571454571393
59.38888888333334,1086.5564254020817,Algae,No Pycno,Fed,F13,TF1,18.295618015965417,91.47809007982708
58.722222216666665,485.31714272339053,Algae,Pycno,Starved,S14,TF2,8.264624947821657,41.32312473910829
60,267.1807426926863,Algae,No Pycno,Starved,S15,TF1,4.453012378211438,22.265061891057194
58.94444445,421.8824225488664,Algae,No Pycno,Starved,S16,TF2,7.157288977534275,35.78644488767138
59.88888888333334,1055.28684871031,Algae,No Pycno,Fed,F14,TF1,17.620745156352186,88.10372578176093
57.833333333333336,457.5882953429345,No Algae,No Pycno,Starved,S17,TF2,7.912189544834602,39.56094772417301
59.666666666666664,841.2677945452173,No Algae,No Pycno,Fed,F15,TF1,14.099460243774592,70.49730121887296
60.166666666666664,865.2724876472504,No Algae,Pycno,Fed,F16,TF2,14.381260182502777,71.90630091251388
60.333333333333336,763.4142918827429,No Algae,No Pycno,Fed,F17,TF1,12.65327555606756,63.266377780337805
58.55555555,439.2083339595112,Algae,Pycno,Starved,S18,TF2,7.500711586357943,37.503557931789715
59.777777783333335,518.1194738842248,No Algae,Pycno,Fed,F18,TF1,8.66742614223913,43.33713071119565
59.11111111666666,593.6286252394243,No Algae,Pycno,Fed,F19,TF2,10.042589523783251,50.21294761891625
59,965.3142718542028,No Algae,No Pycno,Fed,F20,TF1,16.361258844986487,81.80629422493243
59,370.6515232987248,No Algae,No Pycno,Starved,S19,TF2,6.2822292084529625,31.41114604226481
58.277777783333335,603.1942717496344,Algae,No Pycno,Starved,S20,TF1,10.350330686804943,51.75165343402472
59.11111111666666,547.4729049262975,No Algae,No Pycno,Starved,S21,TF2,9.26175966893532,46.308798344676596
58.38888888333334,708.4292853853659,No Algae,Pycno,Starved,S22,TF1,12.132946848858117,60.664734244290585
60.333333333333336,705.11387906214,Algae,Pycno,Fed,F21,TF2,11.68697037119569,58.43485185597845
57.277777783333335,1099.9568920882448,Algae,Pycno,Fed,F22,TF1,19.20390306078372,96.0195153039186
59.05555555,1217.91945077279,Algae,Pycno,Fed,F23,TF2,20.62328326996477,103.11641634982385
59.44444445,455.2011241176725,No Algae,Pycno,Starved,S23,TF1,7.657589003133034,38.28794501566517
59.05555555,813.9134197980644,No Algae,Pycno,Starved,S24,TF2,13.78216515309819,68.91082576549094
59.166666666666664,937.7030135421376,Algae,No Pycno,Fed,F24,TF1,15.848501637331903,79.24250818665952
58.777777783333335,536.7583584721539,Algae,No Pycno,Starved,S25,TF2,9.131994755751956,45.65997377875978
