trial,bin,tank,ID,pycno,cc
1,1,C,1_1,yes,3.0008000000000004
1,10,A,1_10,no,4.1261
1,12,B,1_12,no,9.3434
1,13,B,1_13,no,5.728800000000001
1,14,B,1_14,no,7.195100000000001
1,15,B,1_15,no,5.149100000000001
1,16,B,1_16,no,0.27280000000000004
1,17,A,1_17,no,1.0571000000000002
1,18,C,1_18,yes,0.341
1,2,A,1_2,no,0.9889
1,3,A,1_3,no,4.5353
1,4,A,1_4,no,5.5242000000000004
1,5,C,1_5,yes,1.4322
1,6,C,1_6,yes,4.1261
1,7,C,1_7,yes,0
2,1,E,2_1,no,3.7169000000000003
2,10,D,2_10,yes,2.6598
2,11,D,2_11,yes,6.683600000000001
2,12,D,2_12,yes,3.2054000000000005
2,13,E,2_13,no,0.3069
2,14,D,2_14,yes,4.160200000000001
2,15,E,2_15,no,2.6939
2,16,D,2_16,yes,0.341
2,17,D,2_17,yes,4.364800000000001
2,2,E,2_2,no,16.8795
2,3,E,2_3,no,9.207
2,5,E,2_5,no,2.728
2,7,E,2_7,no,1.6709000000000003
2,9,D,2_9,yes,1.4663000000000002
3,1,D,3_1,no,9.002400000000002
3,10,D,3_10,no,1.0230000000000001
3,11,E,3_11,yes,4.569400000000001
3,12,E,3_12,yes,2.6257
3,14,D,3_14,no,8.525
3,15,E,3_15,yes,0.3069
3,16,D,3_16,no,2.1483000000000003
3,17,E,3_17,yes,3.0349000000000004
3,2,E,3_2,yes,0
3,4,E,3_4,yes,0.8525
3,5,D,3_5,no,0.341
3,6,D,3_6,no,1.2958
3,7,D,3_7,no,0.5797
3,9,E,3_9,yes,2.7962000000000007
4,1,D,4_1,yes,4.705800000000001
4,10,D,4_10,yes,8.2522
4,11,D,4_11,yes,5.831099999999999
4,12,D,4_12,yes,0
4,14,E,4_14,no,13.1967
4,15,E,4_15,no,0.7502000000000001
4,16,D,4_16,yes,6.410800000000001
4,17,D,4_17,yes,4.705800000000001
4,18,E,4_18,no,3.5123000000000006
4,2,E,4_2,no,19.7098
4,4,E,4_4,no,14.458400000000001
4,5,E,4_5,no,8.4227
4,6,E,4_6,no,0.1705
4,7,D,4_7,yes,2.728
5,1,D,5_1,no,12.855700000000002
5,10,D,5_10,no,3.9556
5,11,D,5_11,no,7.263300000000001
5,13,E,5_13,yes,0.4092
5,14,E,5_14,yes,5.899300000000001
5,15,D,5_15,no,9.2752
5,16,E,5_16,yes,3.5464
5,17,E,5_17,yes,1.7391
5,18,D,5_18,no,8.2863
5,2,E,5_2,yes,0.06820000000000001
5,4,E,5_4,yes,3.41
5,5,D,5_5,no,3.9897
5,6,E,5_6,yes,0.8525
5,7,D,5_7,no,5.6947
